Regiao - Sigla;Estado - Sigla;Municipio;Revenda;CNPJ da Revenda;Nome da Rua;Numero Rua;Complemento;Bairro;Cep;Produto;Data da Coleta;Valor de Venda;Valor de Compra;Unidade de Medida;Bandeira;collection_date
SE;SP;SOROCABA;COMPETRO COMERCIO E DISTRIBUICAO DE DERIVADOS DE PETROLEO LTDA; 00.003.188/0001-21;RUA HUMBERTO DE CAMPOS;306;;JARDIM ZULMIRA;18061-000;GASOLINA;2023-07-03;4,87;;R$ / litro;BRANCA;2022-01-30
SE;SP;SOROCABA;COMPETRO COMERCIO E DISTRIBUICAO DE DERIVADOS DE PETROLEO LTDA; 00.003.188/0001-21;RUA HUMBERTO DE CAMPOS;306;;JARDIM ZULMIRA;18061-000;DIESEL S10;2023-07-03;4,88;;R$ / litro;BRANCA;2021-08-25
SE;SP;SOROCABA;COMPETRO COMERCIO E DISTRIBUICAO DE DERIVADOS DE PETROLEO LTDA; 00.003.188/0001-21;RUA HUMBERTO DE CAMPOS;306;;JARDIM ZULMIRA;18061-000;ETANOL;2023-07-03;3,27;;R$ / litro;BRANCA;2020-08-11
N;AC;CRUZEIRO DO SUL;CARDINAL E OLIVEIRA LTDA; 03.608.766/0006-56;AVENIDA 25 DE AGOSTO;1350;;25 DE AGOSTO;69980-000;GASOLINA;2023-07-03;6,95;;R$ / litro;VIBRA ENERGIA;2023-04-18
N;AC;CRUZEIRO DO SUL;CARDINAL E OLIVEIRA LTDA; 03.608.766/0006-56;AVENIDA 25 DE AGOSTO;1350;;25 DE AGOSTO;69980-000;DIESEL S10;2023-07-03;6,85;;R$ / litro;VIBRA ENERGIA;2020-09-07
N;AC;CRUZEIRO DO SUL;AMAZONIA COMERCIO DE DERIVADOS DE PETROLEO LTDA; 01.492.748/0003-83;AVENIDA COPACABANA;440;;COPACABANA;69980-000;GASOLINA;2023-07-03;6,93;;R$ / litro;IPIRANGA;2025-11-24
N;AC;CRUZEIRO DO SUL;AMAZONIA COMERCIO DE DERIVADOS DE PETROLEO LTDA; 01.492.748/0003-83;AVENIDA COPACABANA;440;;COPACABANA;69980-000;GASOLINA ADITIVADA;2023-07-03;6,99;;R$ / litro;IPIRANGA;2023-04-26
N;AC;CRUZEIRO DO SUL;AMAZONIA COMERCIO DE DERIVADOS DE PETROLEO LTDA; 01.492.748/0003-83;AVENIDA COPACABANA;440;;COPACABANA;69980-000;DIESEL;2023-07-03;6,82;;R$ / litro;IPIRANGA;2020-06-15
N;AC;CRUZEIRO DO SUL;AMAZONIA COMERCIO DE DERIVADOS DE PETROLEO LTDA; 01.492.748/0003-83;AVENIDA COPACABANA;440;;COPACABANA;69980-000;DIESEL S10;2023-07-03;6,84;;R$ / litro;IPIRANGA;2021-08-28
N;AC;CRUZEIRO DO SUL;AMAZONIA COMERCIO DE DERIVADOS DE PETROLEO LTDA; 01.492.748/0003-83;AVENIDA COPACABANA;440;;COPACABANA;69980-000;ETANOL;2023-07-03;5,49;;R$ / litro;IPIRANGA;2022-12-04
N;AC;RIO BRANCO;CODEPE COMBUSTIVEIS LTDA; 08.220.930/0001-62;RODOVIA BR-364 (RIO BRANCO-CRUZEIRO DO SUL) - ATE 2;2755;LOTE  01/02/03/04/05 E 33;PORTAL DA AMAZONIA;69915-630;GASOLINA;2023-07-05;6,29;;R$ / litro;VIBRA ENERGIA;2021-06-27
N;AC;RIO BRANCO;CODEPE COMBUSTIVEIS LTDA; 08.220.930/0001-62;RODOVIA BR-364 (RIO BRANCO-CRUZEIRO DO SUL) - ATE 2;2755;LOTE  01/02/03/04/05 E 33;PORTAL DA AMAZONIA;69915-630;GASOLINA ADITIVADA;2023-07-05;6,29;;R$ / litro;VIBRA ENERGIA;2022-11-05
N;AC;RIO BRANCO;CODEPE COMBUSTIVEIS LTDA; 08.220.930/0001-62;RODOVIA BR-364 (RIO BRANCO-CRUZEIRO DO SUL) - ATE 2;2755;LOTE  01/02/03/04/05 E 33;PORTAL DA AMAZONIA;69915-630;DIESEL;2023-07-05;5,96;;R$ / litro;VIBRA ENERGIA;2024-01-22
N;AC;RIO BRANCO;CODEPE COMBUSTIVEIS LTDA; 08.220.930/0001-62;RODOVIA BR-364 (RIO BRANCO-CRUZEIRO DO SUL) - ATE 2;2755;LOTE  01/02/03/04/05 E 33;PORTAL DA AMAZONIA;69915-630;DIESEL S10;2023-07-05;5,99;;R$ / litro;VIBRA ENERGIA;2020-06-26
N;AC;RIO BRANCO;CODEPE COMBUSTIVEIS LTDA; 08.220.930/0001-62;RODOVIA BR-364 (RIO BRANCO-CRUZEIRO DO SUL) - ATE 2;2755;LOTE  01/02/03/04/05 E 33;PORTAL DA AMAZONIA;69915-630;ETANOL;2023-07-05;4,59;;R$ / litro;VIBRA ENERGIA;2025-01-11
N;AC;RIO BRANCO;COMDEPE COMERCIO DE DERIVADOS DE PETROLEO LTDA; 01.198.443/0001-00;ESTRADA JARBAS PASSARINHO;115;;PLACAS;69900-970;GASOLINA;2023-07-05;6,22;;R$ / litro;VIBRA ENERGIA;2022-07-13
N;AC;RIO BRANCO;COMDEPE COMERCIO DE DERIVADOS DE PETROLEO LTDA; 01.198.443/0001-00;ESTRADA JARBAS PASSARINHO;115;;PLACAS;69900-970;GASOLINA ADITIVADA;2023-07-05;6,29;;R$ / litro;VIBRA ENERGIA;2025-11-01
